symbol,n,value
A3,186,0.22026812968841866
A3,187,0.21967679198143553
A3,188,0.21909019147581757
A3,189,0.21850826525713613
A3,190,0.21793095157458534
A3,191,0.2173581898134567
A3,192,0.21678992046840495
A3,193,0.21622608511747934
A3,194,0.21566662639689393
A3,195,0.21511148797651103
A3,196,0.214560614536018
A3,197,0.2140139517417697
A3,198,0.21347144622427583
A3,199,0.21293304555631726
A3,200,0.21239869823165997
B3,2,0.0
B3,3,0.0
B3,4,0.0
B3,5,0.0
B3,6,0.0303632094959706
B3,7,0.1176850315414264
B3,8,0.18508959775964495
B3,9,0.23913280180494512
B3,10,0.2837055564420128
B3,11,0.32128014958500617
B3,12,0.3535118310646934
B3,13,0.3815556958227566
B3,14,0.4062453847080839
B3,15,0.42819954220140033
B3,16,0.4478881642414857
B3,17,0.46567554163051217
B3,18,0.48184896328959403
B3,19,0.4966384401475734
B3,20,0.5102305894019981
B3,21,0.5227786172679515
B3,22,0.5344096324357417
B3,23,0.5452300943607266
B3,24,0.5553299334624943
B3,25,0.5647857094848774
B3,26,0.573663062501342
B3,27,0.5820186364169924
B3,28,0.5899016040531703
B3,29,0.5973548877822648
B3,30,0.6044161450088663
B3,31,0.6111185702134987
B3,32,0.6174915525836927
B3,33,0.6235612189827193
B3,34,0.6293508851532348
B3,35,0.6348814329350954
B3,36,0.6401716274176148
B3,37,0.6452383850101394
B3,38,0.6500970011607856
B3,39,0.654761344709446
B3,40,0.6592440245024873
B3,41,0.6635565328283346
B3,42,0.6677093693910625
B3,43,0.671712148866632
B3,44,0.6755736945512194
B3,45,0.6793021201774234
B3,46,0.6829049016254211
B3,47,0.6863889399717843
B3,48,0.6897606170854733
B3,49,0.6930258447904785
B3,50,0.6961901084566212
B3,51,0.6992585057496317
B3,52,0.7022357811631516
B3,53,0.7051263568650037
B3,54,0.7079343603132345
B3,55,0.710663649034925
B3,56,0.7133178329050389
B3,57,0.7159002942190231
B3,58,0.7184142058117501
B3,59,0.7208625474444101
B3,60,0.7232481206513139
B3,61,0.7255735622147321
B3,62,0.7278413564153906
B3,63,0.7300538461874289
B3,64,0.7322132432926931
B3,65,0.7343216376134561
B3,66,0.736381005653326
B3,67,0.7383932183245949
B3,68,0.7403600480914987
B3,69,0.7422831755318786
B3,70,0.7441641953719604
B3,71,0.7460046220436887
B3,72,0.7478058948088535
B3,73,0.7495693824888326
B3,74,0.7512963878359541
B3,75,0.7529881515774928
B3,76,0.7546458561615035
B3,77,0.7562706292297001
B3,78,0.7578635468406455
B3,79,0.7594256364643275
B3,80,0.7609578797670881
B3,81,0.7624612152036448
B3,82,0.7639365404322932
B3,83,0.7653847145671703
B3,84,0.7668065602800791
B3,85,0.7682028657643151
B3,86,0.7695743865704221
B3,87,0.7709218473239811
B3,88,0.7722459433341955
B3,89,0.7735473421012418
B3,90,0.7748266847302785
B3,91,0.7760845872581748
B3,92,0.7773216418999989
B3,93,0.7785384182202626
B3,94,0.7797354642348671
B3,95,0.7809133074478269
B3,96,0.7820724558281837
B3,97,0.7832133987301108
B3,98,0.7843366077611436
B3,99,0.7854425376007753
B3,100,0.7865316267741723
B3,101,0.7876042983822963
B3,102,0.7886609607927455
B3,103,0.7897020082926753
B3,104,0.7907278217070531
B3,105,0.7917387689838287
B3,106,0.792735205748296
B3,107,0.7937174758290065
B3,108,0.7946859117556021
B3,109,0.7956408352323247
B3,110,0.7965825575865946
B3,111,0.7975113801954082
B3,112,0.798427594890825
B3,113,0.7993314843447896
B3,114,0.8002233224357125
B3,115,0.8011033745971095
B3,116,0.8019718981491898
B3,117,0.8028291426154187
B3,118,0.8036753500231764
